taxa_id,y,zero_ind,group,x
Neisseria,16,No,visit = Week 48,-0.062376847873504566
Streptococcus,22,No,visit = Week 48,0.17077175911403922
Haemophilus,32,No,visit = Week 48,-0.5555580710332153
Prevotella,18,No,visit = Week 48,0.08722637672667995
Moraxella,47,No,visit = Week 48,-0.1514989996572774
Veillonella,35,No,visit = Week 48,0.31700661034473665
Fusobacterium,26,No,visit = Week 48,-0.298423493197586
Porphyromonas,13,No,visit = Week 48,-0.04366940277411983
Lautropia,50,No,visit = Week 48,0.558148926651532
Actinobacillus,26,No,visit = Week 48,-0.0278488664599884
Gemella,21,No,visit = Week 48,0.2073550336036075
Alloprevotella,29,No,visit = Week 48,-0.4833567205157341
Leptotrichia,12,No,visit = Week 48,-0.4297184130480428
Rothia,46,No,visit = Week 48,0.4179401634251237
Aggregatibacter,51,No,visit = Week 48,-0.18310846755862448
Granulicatella,19,No,visit = Week 48,0.15151545757486692
ASV_52,9,No,visit = Week 48,-0.1346575232099687
Actinomyces,30,No,visit = Week 48,0.23209574459469054
ASV_62,46,No,visit = Week 48,0.25099212937648346
Campylobacter,15,No,visit = Week 48,-0.0675088142460393
Bergeyella,12,No,visit = Week 48,-0.08712377941955492
ASV_68,11,No,visit = Week 48,-0.019599191513245098
ASV_77,18,No,visit = Week 48,-0.060530081058546015
Corynebacterium,10,No,visit = Week 48,0.25594661567526256
Streptobacillus,42,No,visit = Week 48,0.3180311938404502
Oribacterium,36,No,visit = Week 48,-0.012440406297679618
Stomatobaculum,27,No,visit = Week 48,0.12430833262260359
Lachnoanaerobaculum,13,No,visit = Week 48,-0.20340033436460553
Mannheimia,22,No,visit = Week 48,0.027617733112578344
TM7x,18,No,visit = Week 48,-0.02978477287681636
Solobacterium,23,No,visit = Week 48,-0.13970399984129647
Peptostreptococcus,20,No,visit = Week 48,-0.23580236403846497
Abiotrophia,15,No,visit = Week 48,-0.08397233494574113
ASV_157,36,No,visit = Week 48,0.13496716073968867
Treponema,46,No,visit = Week 48,0.42113331865312914
ASV_205,39,No,visit = Week 48,0.31417529570887626
ASV_209,41,No,visit = Week 48,0.4197139531078689
F0058,41,No,visit = Week 48,-0.3175228487831036
Conchiformibius,14,No,visit = Week 48,0.011077684737384456
Catonella,14,No,visit = Week 48,0.03274805203449849
Candidatus_Saccharimonas,20,No,visit = Week 48,-0.13810946805100163
Mogibacterium,20,No,visit = Week 48,-0.20270914074908553
Selenomonas,22,No,visit = Week 48,0.05699646845237272
Cardiobacterium,16,No,visit = Week 48,-0.0641278976879215
Capnocytophaga,18,No,visit = Week 48,-0.189331749916169
Kingella,16,No,visit = Week 48,-0.013470367887277788
Butyrivibrio,23,No,visit = Week 48,0.06967715238462527
Mycoplasma,16,No,visit = Week 48,0.08520447162468671
Atopobium,29,No,visit = Week 48,-0.45322644425447356
Tannerella,18,No,visit = Week 48,-0.04068920358845034
Parvimonas,19,No,visit = Week 48,-0.1417103016494013
ASV_331,21,No,visit = Week 48,-0.1511412115532761
Peptococcus,33,No,visit = Week 48,0.3574718839444219
Neisseria,16,No,visit = Week 72,0.19139616748774052
Streptococcus,22,No,visit = Week 72,-0.036118462384664984
Haemophilus,32,No,visit = Week 72,-0.10609093282264949
Prevotella,18,No,visit = Week 72,-0.11807049672827853
Moraxella,47,No,visit = Week 72,-0.2684957915233634
Veillonella,35,No,visit = Week 72,-0.07776731592843374
Fusobacterium,26,No,visit = Week 72,-0.03409236492201817
Porphyromonas,13,No,visit = Week 72,-0.08465294617649313
Lautropia,50,No,visit = Week 72,0.3072761147543703
Actinobacillus,26,No,visit = Week 72,0.025532310873713843
Gemella,21,No,visit = Week 72,0.07403979205566047
Alloprevotella,29,No,visit = Week 72,-0.25049973770101475
Leptotrichia,12,No,visit = Week 72,-0.0612450202459547
Rothia,46,No,visit = Week 72,0.12069454951452603
Aggregatibacter,51,No,visit = Week 72,-0.06086531022445071
Granulicatella,19,No,visit = Week 72,-0.011529346984761817
ASV_52,9,No,visit = Week 72,-0.030938234609661296
Actinomyces,30,No,visit = Week 72,0.11453552907828325
ASV_62,46,No,visit = Week 72,-0.06408997793403218
Campylobacter,15,No,visit = Week 72,-0.06523221360001287
Bergeyella,12,No,visit = Week 72,-0.07099988492817443
ASV_68,11,No,visit = Week 72,-0.019148279109794213
ASV_77,18,No,visit = Week 72,-0.03746976826275681
Corynebacterium,10,No,visit = Week 72,0.03341182983618146
Streptobacillus,42,No,visit = Week 72,-0.10122618266322699
Oribacterium,36,No,visit = Week 72,0.15886878158163636
Stomatobaculum,27,No,visit = Week 72,-0.06058395852181236
Lachnoanaerobaculum,13,No,visit = Week 72,0.011371481957417906
Mannheimia,22,No,visit = Week 72,-0.05661821766667916
TM7x,18,No,visit = Week 72,0.01641767038354154
Solobacterium,23,No,visit = Week 72,-0.004487641750260984
Peptostreptococcus,20,No,visit = Week 72,-0.027602067015626962
Abiotrophia,15,No,visit = Week 72,-0.040213749913080715
ASV_157,36,No,visit = Week 72,0.06527284986327746
Treponema,46,No,visit = Week 72,0.10792684300686788
ASV_205,39,No,visit = Week 72,-0.022787088432458566
ASV_209,41,No,visit = Week 72,0.11790964103006418
F0058,41,No,visit = Week 72,0.008999456096295658
Conchiformibius,14,No,visit = Week 72,0.07336846400987032
Catonella,14,No,visit = Week 72,-0.015332035521993262
Candidatus_Saccharimonas,20,No,visit = Week 72,-0.042873310275732705
Mogibacterium,20,No,visit = Week 72,-0.15325032797457872
Selenomonas,22,No,visit = Week 72,0.094306756127047
Cardiobacterium,16,No,visit = Week 72,0.06574467520937281
Capnocytophaga,18,No,visit = Week 72,0.13306562055360147
Kingella,16,No,visit = Week 72,0.08798601449321304
Butyrivibrio,23,No,visit = Week 72,-0.10608385169951395
Mycoplasma,16,No,visit = Week 72,0.17829611123224642
Atopobium,29,No,visit = Week 72,-0.028017442712636412
Tannerella,18,No,visit = Week 72,-0.11395802909336696
Parvimonas,19,No,visit = Week 72,-0.09411091571771531
ASV_331,21,No,visit = Week 72,-0.020393624843769005
Peptococcus,33,No,visit = Week 72,0.29842386874404164
